Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_1.inp              ,Fluoxetine_2.inp              ,99.73517                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_3.inp              ,99.52534                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_4.inp              ,99.38288                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_5.inp              ,99.44503                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_6.inp              ,98.54976                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_7.inp              ,98.79652                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_8.inp              ,98.83757                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_9.inp              ,97.54712                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_10.inp             ,97.57326                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_11.inp             ,97.59953                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_12.inp             ,97.55136                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_13.inp             ,97.5623                       ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_14.inp             ,97.50197                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_15.inp             ,97.66228                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_16.inp             ,98.18448                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_17.inp             ,98.13517                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_18.inp             ,97.16806                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_20.inp             ,97.24282                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_19.inp             ,97.24635                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_21.inp             ,97.28712                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_22.inp             ,97.05412                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_23.inp             ,97.36722                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_24.inp             ,98.66656                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_25.inp             ,98.63101                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_26.inp             ,98.70251                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_27.inp             ,97.59276                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_28.inp             ,97.62859                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_29.inp             ,97.64893                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_30.inp             ,98.55886                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_31.inp             ,98.55369                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_33.inp             ,99.32104                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_32.inp             ,99.41764                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_34.inp             ,99.29941                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_35.inp             ,97.94419                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_38.inp             ,97.9039                       ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_36.inp             ,97.94283                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_37.inp             ,97.90142                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_39.inp             ,99.32454                      ,No                            
Fluoxetine_1.inp              ,Fluoxetine_40.inp             ,97.97633                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_41.inp             ,98.31372                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_42.inp             ,98.31337                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_43.inp             ,97.62307                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_44.inp             ,97.61972                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_45.inp             ,97.61025                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_46.inp             ,96.83156                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_47.inp             ,97.63004                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_48.inp             ,97.62958                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_49.inp             ,97.58408                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_50.inp             ,97.32272                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_51.inp             ,97.34108                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_52.inp             ,97.33306                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_53.inp             ,97.35977                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_54.inp             ,97.39872                      ,Yes                           
Fluoxetine_1.inp              ,Fluoxetine_55.inp             ,98.01324                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_10.inp             ,99.84806                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_11.inp             ,99.7337                       ,No                            
Fluoxetine_9.inp              ,Fluoxetine_12.inp             ,99.91084                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_13.inp             ,99.93317                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_14.inp             ,99.88434                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_15.inp             ,99.6216                       ,No                            
Fluoxetine_9.inp              ,Fluoxetine_16.inp             ,98.55672                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_17.inp             ,97.71149                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_18.inp             ,98.99996                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_20.inp             ,99.10797                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_19.inp             ,99.10985                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_21.inp             ,99.17084                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_22.inp             ,98.87306                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_23.inp             ,99.23747                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_27.inp             ,99.3374                       ,No                            
Fluoxetine_9.inp              ,Fluoxetine_28.inp             ,99.26683                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_29.inp             ,99.23331                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_35.inp             ,97.81898                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_38.inp             ,97.76158                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_36.inp             ,97.84368                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_37.inp             ,97.79277                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_40.inp             ,97.82334                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_41.inp             ,97.60726                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_42.inp             ,97.66453                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_43.inp             ,98.83017                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_44.inp             ,98.83122                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_45.inp             ,98.78725                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_46.inp             ,97.29655                      ,Yes                           
Fluoxetine_9.inp              ,Fluoxetine_47.inp             ,98.87426                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_48.inp             ,98.82019                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_49.inp             ,98.88144                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_50.inp             ,99.36941                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_51.inp             ,99.38325                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_52.inp             ,99.38099                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_53.inp             ,99.42716                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_54.inp             ,99.44553                      ,No                            
Fluoxetine_9.inp              ,Fluoxetine_55.inp             ,98.7986                       ,No                            
Fluoxetine_17.inp             ,Fluoxetine_35.inp             ,98.49313                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_38.inp             ,98.49055                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_36.inp             ,98.47726                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_37.inp             ,98.41855                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_40.inp             ,98.44991                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_41.inp             ,98.25085                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_42.inp             ,98.33466                      ,Yes                           
Fluoxetine_17.inp             ,Fluoxetine_46.inp             ,97.8936                       ,Yes                           
Fluoxetine_35.inp             ,Fluoxetine_38.inp             ,99.68853                      ,No                            
Fluoxetine_35.inp             ,Fluoxetine_36.inp             ,99.87662                      ,No                            
Fluoxetine_35.inp             ,Fluoxetine_37.inp             ,99.46286                      ,No                            
Fluoxetine_35.inp             ,Fluoxetine_40.inp             ,99.62863                      ,No                            
Fluoxetine_35.inp             ,Fluoxetine_41.inp             ,98.80951                      ,No                            
Fluoxetine_35.inp             ,Fluoxetine_42.inp             ,98.8876                       ,No                            
Fluoxetine_35.inp             ,Fluoxetine_46.inp             ,98.06781                      ,Yes                           
